target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 53958105,53958105,100,4080.8,5.092,False,0.510371,processed-lc-v2,4074.61041,4080.8,sector100_expansion_5000
TIC 53997218,53997218,100,4080.8,18.5903,True,7.000071,processed-lc-v2,4080.785811,4080.8,sector100_expansion_5000
TIC 54145213,54145213,100,4074.4,8.9962,True,6.28416,processed-lc-v2,4080.730515,4074.4,sector100_expansion_5000
TIC 54238138,54238138,100,4080.8,5.1507,False,0.954261,processed-lc-v2,4074.592089,4080.8,sector100_expansion_5000
TIC 54963169,54963169,100,4074.4,6.0764,False,0.501333,processed-lc-v2,4074.848438,4074.4,sector100_expansion_5000
TIC 55146695,55146695,100,4080.8,13.4722,True,6.289601,processed-lc-v2,4080.693143,4080.8,sector100_expansion_5000
TIC 57186546,57186546,100,4080.8,5.6957,False,1.001408,processed-lc-v2,4075.368945,4080.8,sector100_expansion_5000
TIC 57210637,57210637,100,4080.8,5.013,False,0.929125,processed-lc-v2,4074.728532,4080.8,sector100_expansion_5000
TIC 57210639,57210639,100,4080.8,5.9389,False,1.365813,processed-lc-v2,4074.686866,4080.8,sector100_expansion_5000
TIC 57404590,57404590,100,4080.8,6.4315,False,8.457627,processed-lc-v2,4079.425667,4080.8,sector100_expansion_5000
TIC 57450117,57450117,100,4080.8,5.5513,False,8.946765,processed-lc-v2,4080.861047,4080.8,sector100_expansion_5000
TIC 57469249,57469249,100,4080.8,7.417,True,6.72049,processed-lc-v2,4080.890064,4080.8,sector100_expansion_5000
TIC 61372764,61372764,100,4080.8,6.4384,False,9.040427,processed-lc-v2,4078.469981,4080.8,sector100_expansion_5000
TIC 61475565,61475565,100,4074.4,6.6562,False,3.527889,processed-lc-v2,4074.376218,4074.4,sector100_expansion_5000
TIC 62066360,62066360,100,4080.8,36.67,False,1.575676,processed-lc-v2,4074.974612,4080.8,sector100_expansion_5000
TIC 66941536,66941536,100,4080.8,13.437,False,0.877007,processed-lc-v2,4074.662514,4080.8,sector100_expansion_5000
TIC 67204803,67204803,100,4080.8,33.4481,False,1.157181,processed-lc-v2,4074.810087,4080.8,sector100_expansion_5000
TIC 67415985,67415985,100,4080.8,33.6078,False,0.95497,processed-lc-v2,4074.207433,4080.8,sector100_expansion_5000
